Bus_name,Bus_type,Start_time,End_time,Total_duration,Price,Seats_Available,Ratings,Route_link,Route_name
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,INR 626,12 Seats available,"4.5
622",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,INR 799,29 Seats available,"4.5
516",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,INR 799,23 Seats available,"4.4
569",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,Bharat Benz A/C Sleeper (2+1),22:30,09:10,10h 40m,INR 764,31 Seats available,"3.9
154",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
IntrCity SmartBus,AC Sleeper (2+1),23:30,09:50,10h 20m,INR 711,32 Seats available,"4.5
229",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,INR 699,14 Seats available,"4.6
476",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Sangitam Travels Tanzanite,A/C Sleeper (2+1),21:00,06:45,09h 45m,INR 810,24 Seats available,"4.3
620",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,VE A/C Sleeper (2+1),23:55,11:10,11h 15m,684,26 Seats available,"4.4
326",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Dolphin Travel House (37),Bharat Benz A/C Sleeper (2+1),20:15,06:30,10h 15m,INR 910,16 Seats available,"4.5
154",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,INR 1050,32 Seats available,"4.2
533",https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
